mouse_button_1,mouse_button_3,mouse_X,mouse_Y
0.0,0.0,732,503
0.0,0.0,627,495
0.0,0.0,527,451
0.0,0.0,463,411
0.0,0.0,417,385
0.0,0.0,384,364
0.0,0.0,372,343
0.0,0.0,368,331
0.0,0.0,368,320
0.0,0.0,368,318
0.0,0.0,374,313
0.0,0.0,421,298
0.0,0.0,470,285
0.0,0.0,545,281
0.0,0.0,582,281
0.0,0.0,663,281
0.0,0.0,722,281
0.0,0.0,780,281
0.0,0.0,819,286
0.0,0.0,870,301
0.0,0.0,913,323
0.0,0.0,930,336
0.0,0.0,930,337
0.0,0.0,930,338
0.0,0.0,926,349
0.0,0.0,893,373
0.0,0.0,786,432
0.0,0.0,725,450
0.0,0.0,678,454
0.0,0.0,660,454
0.0,0.0,617,454
0.0,0.0,597,448
0.0,0.0,585,439
0.0,0.0,568,425
0.0,0.0,560,412
0.0,0.0,559,368
0.0,0.0,559,329
0.0,0.0,576,290
0.0,0.0,605,274
0.0,0.0,656,268
0.0,0.0,689,268
0.0,0.0,735,268
0.0,0.0,772,268
0.0,0.0,816,281
0.0,0.0,832,288
0.0,0.0,842,291
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,843,292
0.0,0.0,797,292
0.0,0.0,680,286
0.0,0.0,440,257
0.0,0.0,327,236
0.0,0.0,206,200
0.0,0.0,124,187
0.0,0.0,41,178
0.0,0.0,20,177
0.0,0.0,6,177
0.0,0.0,0,176
0.0,0.0,0,171
0.0,0.0,0,165
0.0,0.0,0,161
0.0,0.0,0,154
0.0,0.0,0,149
0.0,0.0,0,143
0.0,0.0,0,141
0.0,0.0,2,138
0.0,0.0,5,136
0.0,0.0,8,133
0.0,0.0,11,130
0.0,0.0,14,129
0.0,0.0,15,128
0.0,0.0,17,128
0.0,0.0,18,127
0.0,0.0,18,127
0.0,0.0,20,126
0.0,0.0,21,125
0.0,0.0,21,125
0.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
1.0,0.0,22,125
0.0,0.0,22,125
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,41,119
0.0,0.0,325,60
0.0,0.0,530,37
0.0,0.0,761,14
0.0,0.0,855,0
0.0,0.0,919,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,922,0
0.0,0.0,950,0
0.0,0.0,985,0
0.0,0.0,1043,26
0.0,0.0,1097,55
0.0,0.0,1126,59
0.0,0.0,1155,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1159,59
0.0,0.0,1177,59
0.0,0.0,1216,59
0.0,0.0,1269,59
0.0,0.0,1297,59
0.0,0.0,1350,53
0.0,0.0,1414,43
0.0,0.0,1445,37
0.0,0.0,1460,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1461,35
0.0,0.0,1468,34
0.0,0.0,1472,34
0.0,0.0,1476,33
0.0,0.0,1478,33
0.0,0.0,1485,33
0.0,0.0,1498,33
0.0,0.0,1504,33
0.0,0.0,1506,33
0.0,0.0,1506,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1508,33
0.0,0.0,1510,33
0.0,0.0,1515,33
0.0,0.0,1517,33
0.0,0.0,1520,33
0.0,0.0,1520,34
0.0,0.0,1520,34
0.0,0.0,1522,35
0.0,0.0,1522,35
0.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
1.0,0.0,1522,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1509,35
0.0,0.0,1304,42
0.0,0.0,1107,53
0.0,0.0,853,100
0.0,0.0,741,134
0.0,0.0,645,161
0.0,0.0,629,161
0.0,0.0,626,161
0.0,0.0,625,162
0.0,0.0,625,165
0.0,0.0,625,168
0.0,0.0,627,200
0.0,0.0,688,303
0.0,0.0,717,339
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,346
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
0.0,0.0,779,343
